"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"04","01905","07","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",37732,0.3396 
"04","01906","06","AZ","Tucson City (Northeast)",95790,0.8433 
"04","01906","07","AZ","Tucson City (Northeast)",17801,0.1567 
"04","01907","06","AZ","Tucson City (Northwest)",31043,0.2663 
"04","01907","07","AZ","Tucson City (Northwest)",85546,0.7337 
"04","01908","06","AZ","Tucson City (South)",5334,0.0464 
"04","01908","07","AZ","Tucson City (South)",109681,0.9536 
"04","01909","06","AZ","Tucson City (Southeast)",74870,0.6088 
"04","01909","07","AZ","Tucson City (Southeast)",48119,0.3912 
"04","02502","02","AZ","Yavapai Urban",135474,1 
"04","02503","02","AZ","Yavapai Rural",100735,1 
"05","00101","03","AR","Benton County (Outer)",171025,1 
"05","00102","03","AR","Benton County (Central)--Bentonville & Rogers Cities",113308,1 
"05","00201","03","AR","Washington County (Outer)--Springdale City",140215,1 
"05","00202","03","AR","Washington County (Central)--Fayetteville City",105656,1 
"05","00300","01","AR","Baxter, Boone & Carroll Counties",103654,0.6659 
"05","00300","03","AR","Baxter, Boone & Carroll Counties",44781,0.2877 
"05","00300","04","AR","Baxter, Boone & Carroll Counties",7225,0.0464 
"05","00400","01","AR","Independence, Cleburne & Van Buren Counties",75949,0.6522 
"05","00400","02","AR","Independence, Cleburne & Van Buren Counties",40507,0.3478 
"05","00500","01","AR","Northeast Arkansas",112346,1 
"05","00600","01","AR","East Arkansas",153939,1 
"05","00700","01","AR","Craighead & Poinsett Counties",134196,1 
"05","00800","01","AR","White, Lonoke & Woodruff Counties",38105,0.3316 
"05","00800","02","AR","White, Lonoke & Woodruff Counties",76822,0.6684 
"05","00900","01","AR","Faulkner & Lonoke Counties",74015,0.3747 
"05","00900","02","AR","Faulkner & Lonoke Counties",123498,0.6253 
"05","01000","02","AR","Pope, Johnson & Conway Counties",20715,0.1592 
"05","01000","04","AR","Pope, Johnson & Conway Counties",109393,0.8408 
"05","01100","03","AR","Sebastian, Crawford & Franklin Counties",178234,0.8693 
"05","01100","04","AR","Sebastian, Crawford & Franklin Counties",26795,0.1307 
"05","01200","04","AR","West Arkansas",133438,1 
"05","01300","04","AR","West Central Arkansas",173321,1 
"05","01400","02","AR","Saline, Grant & Perry Counties",133435,0.8814 
"05","01400","04","AR","Saline, Grant & Perry Counties",17958,0.1186 
"05","01501","01","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",8612,0.0429 
"05","01501","02","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",180403,0.8985 
"05","01501","04","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",11759,0.0586 
"05","01502","02","AR","Pulaski County (Central)--Little Rock City",177330,0.894 
"05","01502","04","AR","Pulaski County (Central)--Little Rock City",21021,0.106 
"05","01600","01","AR","Southeast Arkansas",51693,0.298 
"05","01600","04","AR","Southeast Arkansas",121767,0.702 
"05","01700","04","AR","Southwest Arkansas",130409,1 
"06","00101","12","CA","Alameda County (North)--Berkeley & Albany Cities",144592,1 
"06","00111","12","CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",106433,1 
"06","00112","12","CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",106896,1 
"06","00113","12","CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",125840,1 
"06","00114","12","CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",173319,0.8895 
"06","00114","14","CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",21533,0.1105 
